"username","status","category","style"
InvestSmart,Доступно для покупки,Бизнес,strict
InvestPro,Доступно для покупки,Бизнес,strict
DealMaker,Продано,Бизнес,strict
ProfitNow,Доступно для покупки,Бизнес,strict
MarketWise,Доступно для покупки,Бизнес,strict
BizBot,Занято,Бизнес,strict
TradeFlow,Доступно для покупки,Бизнес,strict
SimpleJoy,Доступно для покупки,Стиль жизни,minimal
ZenLifeStyle,Занято,Стиль жизни,minimal
BrightVibes,Доступно для покупки,Стиль жизни,minimal
MindfulMoments,Занято,Стиль жизни,minimal
ZenithPeak,Занято,Minimalist,minimal
AetherFlow,Занято,Minimalist,minimal
StarryNight88,Занято,Minimalist,minimal
EmberGlow,Занято,Minimalist,minimal
SunKissed_Moments,Свободно,Minimalist,minimal
QuietStorm7,Занято,Minimalist,minimal
lunar_phase,Занято,Minimalist,minimal
clear_sky,Занято,Minimalist,minimal
shadow_dance,Занято,Minimalist,minimal
pixel_dust,Занято,Minimalist,minimal
aura_glow,Занято,Minimalist,minimal
sunbeam_22,Занято,Minimalist,minimal
ObsidianCore,Занято,Тёмная сторона,minimal
ShadowRealm,Занято,Тёмная сторона,minimal
Nightfall_bot,Занято,Тёмная сторона,minimal
Inkwell,Занято,Тёмная сторона,minimal
BlackMirror_bot,Занято,Тёмная сторона,minimal
DarkMatter,Доступно для покупки,Тёмная сторона,minimal
ObsidianTheme,Свободно,Темы:  Темный интерфейс/дизайн,minimal
NightVision,Доступно для покупки,Темы:  Темный интерфейс/дизайн,minimal
Dark_UI_helper,Свободно,Темы:  Темный интерфейс/дизайн,minimal
ShadowInterface,Доступно для покупки,Темы:  Темный интерфейс/дизайн,minimal
Black_UI,Занято,Темы:  Темный интерфейс/дизайн,minimal
DarkMode_bot,Занято,Темы:  Темный интерфейс/дизайн,minimal
Strategic_Growth_bot,Свободно,Бизнес,
Corp_Solutions,Свободно,Бизнес,
Fintech_Advisor,Занято,Бизнес,
Business_Intel_1,Свободно,Бизнес,
Global_Enterprise,Занято,Бизнес,
Corp_Metrics,Свободно,Бизнес,strict
Financial_Guard,Свободно,Бизнес,strict
Strategic_Growth,Занято,Бизнес,strict
InvestWisely_bot,Занято,Бизнес,strict
Market_Intel_1,Свободно,Бизнес,strict
StrictBiz_Advisor,Свободно,Бизнес,strict
FinTech_Solutions,Свободно,Бизнес,strict
Market_Analyst,Занято,Бизнес,strict
CorpAdmin_Bot,Занято,Бизнес,strict
GlobalTradePro,Доступно для покупки,Бизнес,strict
StrictBiz_1984,Свободно,Бизнес,strict
StatusUpdate,Доступно для покупки,Бизнес,minimal
ProgressBot,Занято,Бизнес,minimal
ProgressTracker,Доступно для покупки,Бизнес,minimal
SubmitStats,Свободно,Бизнес,funky
Report_Status_Bot,Занято,**Бизнес**,
RetroMem_Bot,Свободно,Воспоминания,funky
mem_keeper,Занято,Воспоминания,minimal
memoryLane,Доступно для покупки,Воспоминания,minimal
mem0ries,Доступно для покупки,Воспоминания,minimal
faded_echoes,Занято,Воспоминания,minimal
old_school_vibe,Занято,**Ностальгия**,
PeskyPigeon7,Свободно,Бесишь (Funky стиль),funky
Get_On_My_Nerves,Свободно,Бесят_все,
Annoy_o_matic,Свободно,Бесят_все,
yvawyva_bot,Свободно,"Тема: абстрактный набор символов, не несущий смысловой нагрузки",
yvawyaa_codes,Свободно,Категория темы: абстрактная/шуточная (не указывает на бота),
yva_yva_enig,Свободно,Зашифрованный текст,
sdsdfsdf_masterrace,Свободно,Cringe,cringe
sdsdfs,Доступно для покупки,**Нет явной связи с ботом**,
yvavyva_masterrace,Свободно,Cringe,cringe
yva_vyva_spambot,Свободно,Cringe,cringe
vaivai,Занято,Тема: абстрактная,
vaivaivai_generator,Свободно,Тема: абстрактная,
Vavava_Secrets,Свободно,**Загадки и тайны**,
timeline_slip,Свободно,ИсторияЗадержек,minimal
delayed_history,Свободно,ИсторияЗадержек,minimal
HistoryLagTracker,Свободно,История_задержек_бизнеса,
Business_Delay_Bot,Свободно,История_задержек_бизнеса,
TrackingHistory_247,Свободно,История_заказов,
Backlog_Monitor,Свободно,История_заказов,
shipment_delay_info,Свободно,Задержка_в_доставке,back_to_main_style_menu
late_shipment_tracker,Свободно,Задержка_в_доставке,back_to_main_style_menu
MyLifeIsLagging,Свободно,Задержки_в_жизни,cringe
EternalWaiting_bot,Свободно,Задержки_в_жизни,cringe
pending_requests_bot,Свободно,Задержки_и_проблемы,back_to_main_style_menu
delay_again_bot,Свободно,Задержки_и_проблемы,back_to_main_style_menu
Viloribo_Invest,Свободно,**Бизнес**,
Vilobazhdo_Trading,Свободно,**Бизнес**,
Process_Pause,Свободно,**Задержка обработки**,
Slow_Gen_Bot,Свободно,**Задержка обработки**,
FunkyFallFoliage,Свободно,Пропавшие листья,funky
Autumn_Ghost_Leaves,Свободно,Пропавшие листья,funky
Leaflet_Chronicles,Свободно,Опавшие листья (лирическая тема),
CrimsonAutumn,Занято,Опавшие листья (лирическая тема),
P4nd4_M4sterrace,Свободно,Cringe Панда,cringe
Panda_Butt_69,Свободно,Cringe Панда,cringe
FBAudienceGrowth,Свободно,Бизнес,
MarketReachAnalyst,Свободно,Бизнес,
ReportFlow,Свободно,Бизнес,minimal
Workflow_Bot,Занято,Бизнес,minimal
ReportCentral,Доступно для покупки,Бизнес,funky
BusinessReportsBot,Свободно,**Бизнес**,
MemoryLane88,Свободно,Воспоминания,funky
FlashbackFunk,Свободно,Воспоминания,funky
memorylane_bot,Занято,Воспоминания,minimal
reminisce_now,Свободно,Воспоминания,minimal
faded_moments,Свободно,Воспоминания,minimal
past_life,Доступно для покупки,Воспоминания,minimal
reminiscing_bot,Занято,Воспоминания,minimal
mem0rylane,Доступно для покупки,Воспоминания,minimal
nostalgia_trip_90s,Свободно,**Ностальгия**,
xxx_remembers,Свободно,**Ностальгия**,
Gr8t_Pest_Bot,Свободно,Бесишь (Funky стиль),funky
Irritator42,Свободно,Бесят_все,
Besisch_bot,Свободно,Бесят_все,
yvawyva_generator,Свободно,"Тема: абстрактный набор символов, не несущий смысловой нагрузки",
yvawyaa_fun,Свободно,Категория темы: абстрактная/шуточная (не указывает на бота),
sdsdfsdf_uwu,Свободно,Cringe,cringe
sdsdfsdf_data,Свободно,**Нет явной связи с ботом**,
vaivai_randomizer,Свободно,Тема: абстрактная,
vaivaivai_bot,Свободно,Тема: абстрактная,
Vavava_Riddle_Me_This,Свободно,**Загадки и тайны**,
Vavava_Mysteries,Свободно,**Загадки и тайны**,
backlog_tracker,Свободно,ИсторияЗадержек,minimal
past_due_bot,Свободно,ИсторияЗадержек,minimal
BizHistoryDelays,Свободно,История_задержек_бизнеса,
DelayedHistoryBusiness,Свободно,История_задержек_бизнеса,
Shipment_Status_Bot,Свободно,История_заказов,
OrderHistoryTracker,Свободно,История_заказов,
delayed_delivery_bot,Свободно,Задержка_в_доставке,back_to_main_style_menu
Procrastination_King,Свободно,Задержки_в_жизни,cringe
late_again_report,Свободно,Задержки_и_проблемы,back_to_main_style_menu
Vilobazhdo_Finance_bot,Свободно,**Бизнес**,
Pending_Tasks_bot,Занято,**Задержка обработки**,
DelayedResponse_bot,Свободно,**Задержка обработки**,
Crumbling_Autumn,Свободно,Пропавшие листья,funky
FallenLeavesFunk,Свободно,Пропавшие листья,funky
WhisperingLeaves,Доступно для покупки,Опавшие листья (лирическая тема),
FallenLeavesWhisper,Свободно,Опавшие листья (лирическая тема),
Bamboo_Bandit_bot,Свободно,Cringe Панда,cringe
FacebookReach_Bot,Свободно,Бизнес,
AdMetricsPro,Занято,Бизнес,
ReportBot,Занято,Бизнес,minimal
BusinessReports,Доступно для покупки,Бизнес,minimal
Report_Maestro,Свободно,Бизнес,funky
ReportBot_HQ,Свободно,**Бизнес**,
ProofBot,Занято,Проверка качества,minimal
TaskReport,Занято,Бизнес,minimal
WorkMetrics,Занято,Бизнес,minimal
Report_Bot,Занято,Бизнес,minimal
Tracking_Reports,Свободно,Бизнес,funky
DeliveryTracker_Pro,Свободно,**Бизнес**,
VibeCheckMemories,Свободно,Воспоминания,funky
reminiscence_bot,Занято,Воспоминания,minimal
old_photos,Доступно для покупки,Воспоминания,minimal
memory_keeper,Занято,Воспоминания,minimal
past_moments,Свободно,Воспоминания,minimal
eh_times_bot,Свободно,**Ностальгия**,
eh_moments,Свободно,**Ностальгия**,
Irrit8_Me_Not,Свободно,Бесишь (Funky стиль),funky
Pestilence_bot,Занято,Бесят_все,
yvawyva_random,Свободно,"Тема: абстрактный набор символов, не несущий смысловой нагрузки",
yva_yva_code,Свободно,Зашифрованный текст,
yva_yva_secret,Свободно,Зашифрованный текст,
yva_yva_yva_cipher,Свободно,Зашифрованный текст,
sdsdfsdf_420_life,Свободно,Cringe,cringe
sdsdfsdf_is_love,Свободно,Cringe,cringe
sdsdfsdf,Доступно для покупки,Cringe,cringe
sdsdfsdf_hub,Свободно,**Нет явной связи с ботом**,
sdsdfsdf_central,Свободно,**Нет явной связи с ботом**,
sdsdfsdf_helper,Свободно,**Нет явной связи с ботом**,
yvavyva_is_life,Свободно,Cringe,cringe
vai_vai_vai_helper,Свободно,Тема: абстрактная,
Vavava_Enigma,Свободно,**Загадки и тайны**,
history_lag,Свободно,ИсторияЗадержек,minimal
late_updates_bot,Свободно,ИсторияЗадержек,minimal
DelayedDeals_bot,Свободно,История_задержек_бизнеса,
HistoryDelays_bot,Свободно,История_заказов,
DelayedDeliveryBot,Свободно,История_заказов,
backlogged_orders_bot,Свободно,Задержка_в_доставке,back_to_main_style_menu
Delay_Master69,Свободно,Задержки_в_жизни,cringe
LateAgain_bot,Занято,Задержки_в_жизни,cringe
overdue_items_tracker,Свободно,Задержки_и_проблемы,back_to_main_style_menu
backlogged_tasks,Свободно,Задержки_и_проблемы,back_to_main_style_menu
Viloribo_Market_bot,Свободно,**Бизнес**,
Output_Lag,Свободно,**Задержка обработки**,
Generating_Delay,Свободно,**Задержка обработки**,
LostLeafLegends,Свободно,Пропавшие листья,funky
Leaf_Whisperer_Bot,Свободно,Пропавшие листья,funky
Golden_October,Свободно,Опавшие листья (лирическая тема),
AutumnLeaves_Diary,Свободно,Опавшие листья (лирическая тема),
uwuPandaKing,Свободно,Cringe Панда,cringe
SocialInsightsBot,Свободно,Бизнес,
FB_VolumeTracker,Свободно,Бизнес,
TimeFluid_bot,Свободно,Сюрреалистический_таймер,
VerityCheck,Свободно,Проверка качества,minimal
DreamyChronos,Свободно,Сюрреалистический_таймер,
Audit_Minimal,Свободно,Проверка качества,minimal
SurrealClock_bot,Свободно,Сюрреалистический_таймер,
HighStandardBot,Занято,**Качество**,minimal
GradeIt,Занято,**Качество**,minimal
StyleVerify,Свободно,**Качество**,minimal
QC_Pro,Занято,**Качество**,minimal
PixelForge_bot,Занято,**Генератор изображений**,
PicCreator5000,Свободно,**Генератор изображений**,
ImageGen_bot,Занято,**Генератор изображений**,
DeepDreamBot,Занято,**Генератор изображений**,
VisualSynth,Свободно,**Генератор изображений**,
ArtMakerPro,Свободно,**Генератор изображений**,
SystemPulse,Свободно,Тема: Мониторинг систем,funky
SysCheck_Vibes,Свободно,Тема: Мониторинг систем,funky
Uptime_Groove_bot,Свободно,Тема: Мониторинг систем,funky
Health_Check_Flow,Свободно,Тема: Мониторинг систем,funky
Status_Check_Funk,Свободно,Тема: Мониторинг систем,funky
EthicAdvisor,Свободно,ЭтикаБизнеса,
FairPractice_bot,Свободно,ЭтикаБизнеса,
BusinessEthicsGuide,Свободно,ЭтикаБизнеса,
EthicalBiz_bot,Свободно,ЭтикаБизнеса,
MoralCompassCorp,Свободно,ЭтикаБизнеса,
EthicsConsult,Свободно,ЭтикаБизнеса,
Ethical_Practices,Свободно,Этика бизнеса,
FairTradeBot,Занято,Этика бизнеса,
EthicoBusiness,Свободно,Этика бизнеса,
CorpEthicsAdvisor,Свободно,Этика бизнеса,
EthicalBizBot,Свободно,Этика бизнеса,
BusinessEthics_Guide,Свободно,Этика бизнеса,
Incredible_Truth,Свободно,**Невероятные факты**,
DidYouKnowThat,Доступно для покупки,**Невероятные факты**,
AmazingFacts4U,Свободно,**Невероятные факты**,
IsThatTrueBot,Занято,**Невероятные факты**,
Unbelievable_Facts,Занято,**Невероятные факты**,
Really_Now_Bot,Свободно,**Невероятные факты**,
ReachCheck,Свободно,Проверка связи,minimal
Ping_Monitor,Свободно,Проверка связи,minimal
SignalCheckBot,Занято,Проверка связи,minimal
LinkCheck_bot,Занято,Проверка связи,minimal
NetworkStatus_bot,Занято,Связь,minimal
PingCheck,Занято,Связь,minimal
SignalVerify,Свободно,Связь,minimal
ConnectionTest,Свободно,Связь,minimal
CheckLink_bot,Занято,Связь,minimal
LinkCheckBot,Занято,Связь,minimal
ghjdthef_cipher,Свободно,**Тема: Шифрование/Безопасность**,
ghjdthef_crypt,Свободно,**Тема: Шифрование/Безопасность**,
ghjdthef_secure,Свободно,**Тема: Шифрование/Безопасность**,
SenatusConsultum_bot,Свободно,Этические нормы,
RomanEthicsGuide,Свободно,Этические нормы,
MoresMajorum,Свободно,Этические нормы,
PietasEtIustitia,Свободно,Этические нормы,
RomanaVirtus,Свободно,Этические нормы,
MosMaiorum_bot,Свободно,Этические нормы,
CossackHeritage,Свободно,Степные казаки,minimal
Dali_TimeWarp,Свободно,Сюрреалистический_таймер,
WildSteppe_bot,Свободно,Степные казаки,minimal
quick_info,Занято,Просто любое,minimal
quick_access,Доступно для покупки,Просто любое,minimal
DaliTimeFlow,Свободно,Сюрреалистический_таймер,
FreeSteppe,Свободно,Степные казаки,minimal
easy_lookup,Свободно,Просто любое,minimal
MeltingClocks,Свободно,Сюрреалистический_таймер,
DonCossacks,Доступно для покупки,Степные казаки,minimal
easy_access,Занято,Просто любое,minimal
data_stream,Занято,Просто любое,minimal
BlueDatabaseBot,Свободно,Бот базы данных,minimal
CossackLife,Свободно,Степные казаки,minimal
SteppeCossack,Свободно,Степные казаки,minimal
Popular_Names_Bot,Свободно,Популярные имена,minimal
NameGen,Свободно,Популярные имена,minimal
TopNames,Занято,Популярные имена,minimal
Alex_Names,Свободно,Популярные имена,minimal
BestBabyNames,Свободно,PopularNames,
TopNames_bot,Свободно,PopularNames,
PopularNameBot,Свободно,PopularNames,
EasyHardLogic,Свободно,Математические головоломки,
MathBrainTeaser,Свободно,Математические головоломки,
Simplex_Puzzles,Свободно,Математические головоломки,
dfgdfg_stream,Свободно,Тема: абстрактная (нет явного указания на бота),
dfgdgf_hub,Свободно,Тема: абстрактная (нет явного указания на бота),
dfgdgf_data,Свободно,Тема: абстрактная (нет явного указания на бота),
CrossCheckInfo,Свободно,Проверка фактов,
CheckTheFacts,Занято,Проверка фактов,
Funky,Занято,Funky Vibes,funky
vapvap_rhythm_bot,Свободно,Funky Vibes,funky
VapVapVibes_77,Свободно,Funky Vibes,funky
vapvap_funkmaster,Свободно,Funky Vibes,funky
dfgdfgd,Доступно для покупки,Пользовательская проверка,None
ReliableSource,Доступно для покупки,**Проверка фактов**,
FactVerificationBot,Свободно,**Проверка фактов**,
RealityCheckPro,Свободно,**Проверка фактов**,
InfoValidator,Свободно,Проверка фактов,
why_two_bot,Свободно,Загадка_бота,minimal
two_not_three_bot,Свободно,Загадка_бота,minimal
gen2_query_bot,Свободно,Загадка_бота,minimal
RememberWhen_bot,Свободно,Ностальгия,
Back_to_the_past,Доступно для покупки,Ностальгия,
YesterdayOnceMore,Занято,Ностальгия,
WillItRepeat,Свободно,Ностальгия,
RememberWhen_2023,Свободно,Ностальгия,
BackToThePast_bot,Занято,Ностальгия,
DarkChoc_Shop,Свободно,Тема: Бизнес,minimal
SweetCocoa_LTD,Свободно,Тема: Бизнес,minimal
Choco_Treats,Свободно,Тема: Бизнес,minimal
SweetestChocolateTreats,Свободно,Кондитерская,choose_style
ChocolateHeaven_Shop,Свободно,Кондитерская,choose_style
Chocoholic_Delights,Свободно,Кондитерская,choose_style
RiddleMeOne,Свободно,Загадки,
TheOneClue,Свободно,Загадки,
OneQuestion_bot,Занято,Загадки,
SingleAnswerBot,Свободно,Загадки,
CheckMyMenu_bot,Свободно,Проверка меню (бот),choose_style
MenuCheck_bot,Свободно,Проверка меню (бот для ресторанов),choose_style
checksdf,Свободно,Пользовательская проверка,None
TruthVerifier,Свободно,Проверка фактов,
WowSoFast_Bot,Свободно,Удивление/Недоверие,choose_style
SoQuickNow,Свободно,Удивление/Недоверие,choose_style
data_point,Занято,Просто любое,minimal
useful_links,Доступно для покупки,Просто любое,minimal
daily_notes,Доступно для покупки,Просто любое,minimal
BlueElephant_db_bot,Свободно,Бот базы данных,minimal
MenuChecker_bot,Свободно,Проверка меню (бот),choose_style
RestaurantMenuBot,Занято,Проверка меню (бот для ресторанов),choose_style
TruthVerificationBot,Свободно,Проверка фактов,
QuickAsAFlash123,Свободно,Удивление/Недоверие,choose_style
Speedy_Surprise,Свободно,Удивление/Недоверие,choose_style
simple_data,Занято,Просто любое,minimal
BluePG_bot,Свободно,Бот базы данных,minimal
FoodMenuBot,Занято,Проверка меню (бот),choose_style
FoodMenuValidator_bot,Свободно,Проверка меню (бот для ресторанов),choose_style
VerifyThisInfo,Свободно,Проверка фактов,
Fast_Response_Bot,Занято,Удивление/Недоверие,choose_style
ApricotEars_bot,Свободно,Забавный персонаж,choose_style
UshastyApricotFun,Свободно,Забавный персонаж,choose_style
FluffyApricot,Свободно,Забавный персонаж,choose_style
TimestampGenerator,Свободно,Время генерации,
GenTimeBot01,Свободно,Время генерации,
DataCreationMark,Свободно,Время генерации данных,
GeneratedTime_stamp,Свободно,Время генерации данных,
TimeStamper_123,Свободно,Время генерации,
GeneratedTimeBot,Свободно,Время генерации,
TimeGenStamp_bot,Свободно,Время генерации,
Timestamper,Свободно,Время генерации,
GenTimeAssistant,Свободно,Время генерации,
Timestamp_Creator_bot,Свободно,Время генерации (бот),
GeneratedAtBot,Свободно,Время генерации (бот),
GenerateTimeNow,Свободно,Время генерации (бот),
TimestampBot,Занято,Время генерации (бот),
TimeGen_bot,Занято,Время генерации (бот),
SpiritGuide1923,Свободно,Мистический помощник,
HeritageScents_bot,Свободно,Мистический помощник,
AncestorWhispers,Свободно,Мистический помощник,
LegacyScents,Свободно,Мистика,
AncestorSpirits,Свободно,Мистика,
VerifyFacts_bot,Свободно,Проверка фактов,
WhispersOfThePast,Занято,Мистика,
HeritagePerfumes,Свободно,Мистика,
AncestralScents,Свободно,Мистика,
Lavender_Meow,Занято,Фиолетовые котики,minimal
Lavender_Paws,Свободно,Фиолетовые котики,minimal
VioletKitten,Занято,Фиолетовые котики,minimal
Lilac_Paws,Занято,Фиолетовые котики,minimal
PurpleCats,Занято,Фиолетовые котики,minimal
VioletKitties,Свободно,Фиолетовые котики,minimal
MyStable_bot,Занято,Конный спорт,
EquineStar,Свободно,Конный спорт,
MyStable_Life,Свободно,Конный спорт,
HorseRacingTips,Доступно для покупки,Конный спорт,
Equine_Star,Свободно,Конный спорт,
dfgsdgdfgdf,Свободно,Пользовательская проверка,None
ProjectZenith,Доступно для покупки,Бизнес,
WorkFlowMaster,Свободно,Бизнес,
BusinessActive,Доступно для покупки,Бизнес,
DailyGrindBot,Свободно,Бизнес,
WorkingHours_bot,Занято,Бизнес,
ProductivityBoost,Занято,Бизнес,
Working_Hard_Bot,Занято,Бизнес,
Bloodsucker_Legion,Свободно,Ужасы/фантастика,epic
Nightly_Swarm,Свободно,Ужасы/фантастика,epic
Mosquito_Nightmare,Свободно,Ужасы/фантастика,epic
Funny800Bucks,Свободно,Юмор,
EightHundredLaughs,Свободно,Юмор,
info_hub,Доступно для покупки,Просто любое,minimal
AzureElephantBot,Свободно,Бот базы данных,minimal
Joke800_bot,Свободно,Юмор,
JokesFor800,Свободно,Юмор/шутки,
EightHundredJokes,Свободно,Юмор/шутки,
Debug_Level_Please,Свободно,Юмор,
InfoLogKiller,Свободно,Юмор,
NoMoreInfoLogs,Свободно,Юмор,
HelpDesk_Support,Невозможно определить,Техническая поддержка,
FixItFast_bot,Невозможно определить,Техническая поддержка,
BrokenBot,Невозможно определить,Техническая поддержка,
TechHelp_Now,Невозможно определить,**Техническая поддержка**,
Tech_Rescue_101,Невозможно определить,**Техническая поддержка**,
Support_Bot_247,Невозможно определить,**Техническая поддержка**,
Broken_Fixer,Невозможно определить,**Техническая поддержка**,
QuickDash100,Невозможно определить,Быстрый спринт,
FastSprint_Bot,Невозможно определить,Быстрый спринт,
FastRunner123,Невозможно определить,Быстрый спринт,
QuickDash_bot,Невозможно определить,Быстрый спринт,
Sprint_Master,Невозможно определить,Быстрый спринт,
QuickSprint100,Невозможно определить,Быстрый спринт,
FastSprint_Pro,Невозможно определить,Быстрый спринт,
SprintBoost,Невозможно определить,Быстрый спринт,
ClayToBrick_Solutions,Невозможно определить,Бизнес,
BrickProductionBot,Невозможно определить,Бизнес,
BrickworksOnline,Невозможно определить,Бизнес,
ClayToBricks_bot,Невозможно определить,Бизнес,
BrickMaster_Corp,Невозможно определить,Бизнес,
FactoryBricksBot,Невозможно определить,Бизнес,
Brickworks_pro,Невозможно определить,Бизнес,
BrickMaster123,Невозможно определить,Бизнес,
Red_Cap_Spores,Свободно,**Мистический/шуточный**,
Lenin_Fungus_Bot,Свободно,**Мистический/шуточный**,
LeninMushroom_Mystic,Свободно,**Мистический/шуточный**,
InternetSpeedChecker,Свободно,Скорость интернета,
NetSpeedCheckBot,Занято,Скорость интернета,
SpeedTest_Helper,Свободно,Скорость интернета,
SpeedCheckBot,Занято,Скорость интернета,
NetSpeed_Tester,Свободно,Скорость интернета,
FastCheck_bot,Занято,Скорость интернета,
InternetSpeedTest,Занято,**Скорость интернета**,
MySpeedMeter,Свободно,**Скорость интернета**,
SpeedCheck_Bot,Занято,**Скорость интернета**,
letsdoit,Доступно для покупки,Пользовательская проверка,None
what_about_this,Занято,Пользовательская проверка,None
sdfs__dsf,Свободно,Пользовательская проверка,None
Checkmate_Prodigy,Свободно,Шахматы,
OceanBreezes_bot,Свободно,Морской прогноз,
MarineWeatherUpdates,Свободно,Морской прогноз,
SeaWindForecast,Свободно,Морской прогноз,
Joke500_bot,Свободно,Юмор,
FiftyShadesOfJokes,Свободно,Юмор,
JokesFor500,Свободно,Юмор,
FiveHundredJokes,Свободно,Юмор,
"300JokesBot",Свободно,Юмор,
Task_tracker,Доступно для покупки,Бизнес,minimal
StatBot,Занято,Бизнес,minimal
DataFlow_Bot,Занято,Бизнес,funky
SalesReportMonitor,Свободно,**Бизнес**,
ElephantDB_helper,Свободно,Бот базы данных,minimal
Joke_Master300,Свободно,Юмор,
JokesFor300,Занято,Юмор,
"300_Joke_Bot",Свободно,Юмор,
ThreeHundredLaughs,Свободно,Юмор,
checkdb,Занято,Пользовательская проверка,None
OhMyGosh_16Pancakes,Свободно,Юмор,funky
Sixteen_Flipping_Fun,Свободно,Юмор,funky
Pancake_Panic16,Свободно,Юмор,funky
eleven_solution,Свободно,Спасение,minimal
save11,Занято,Спасение,minimal
EleventhHour_fix,Свободно,Спасение,minimal
SafeHaven11,Занято,Спасение,minimal
Fix11,Доступно для покупки,Спасение,minimal
solution11,Занято,Спасение,minimal
eleven_save,Свободно,Спасение,minimal
fix11_bot,Занято,Спасение,minimal
retry_99,Свободно,Игры,minimal
almost_same_game,Свободно,Игры,minimal
"99_diff_bot",Свободно,Игры,minimal
ParallelWriteBot,Свободно,**Технологии**,
Record10SecDB,Свободно,**Технологии**,
TenSecParallel_bot,Свободно,**Технологии**,
rekord_98_fail_epic,Свободно,Спорт,cringe
mega_98_jump_bot,Свободно,Спорт,cringe
"9point8_rekord_bro",Свободно,Спорт,cringe
ApexPredatorRacing,Свободно,Гоночный болид,
NitroBeast_7,Свободно,Гоночный болид,
FastLap_Racer,Свободно,Гоночный болид,
twelve_seconds,Свободно,Таймер,minimal
fast_timer12,Свободно,**Таймер**,minimal
twelveseconds,Доступно для покупки,**Таймер**,minimal
"12sec_timer",Свободно,**Таймер**,minimal
VelocityTuning,Свободно,Тюнинг скорости,
Velocity_Tweaks,Свободно,Тюнинг скорости,
TurboCharger_Bot,Занято,Тюнинг скорости,
SpeedBoost_Pro,Свободно,Тюнинг скорости,
gen_speed_checker,Свободно,Скорость генерации,
speed_test_bot,Занято,Скорость генерации,
FastGen_Bot,Свободно,Скорость генерации,
GenSpeedChecker,Свободно,Скорость генерации,
Timer14SecondsBot,Свободно,Таймер,
"14SecCountdown",Свободно,Таймер,
FourteenSecondsTimer,Свободно,Таймер,
TenSecTimer,Свободно,**Скорость**,
QuickResponseBot,Занято,**Скорость**,
SpeedDemon10,Свободно,**Скорость**,
Fast10_sec,Свободно,**Скорость**,
SpeedDemon_007,Свободно,Транспорт,
FastLane_Bot,Занято,Скорость,
VelocityLife,Занято,Скорость,
SpeedDemon_1,Свободно,Скорость,
Velocity_Boost,Свободно,Скорость,
FastLaneLife,Занято,Скорость,
quickquickquick,Занято,Пользовательская проверка,None
fastfastfast,Доступно для покупки,Пользовательская проверка,None
Literary_Hunter,Свободно,Книжный червь,
Bookworm_Reads,Занято,Книжный червь,
Literary_Lover13,Свободно,Книжный червь,
Bookworm_92,Занято,Книжный червь,
